"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","19-FEB-16","19-FEB-16","00:45:00Z","MARSHVILLE","North Carolina","","AIRCRAFT CRASHED INTO TREES, THE 1 PERSON ON BOARD WAS FATALLY INJURED, NEAR MARSHVILLE, NC","Accident","FAA Charlotte FSDO-68","N61WB","","","BEECH","36","","Unknown","","UNKNOWN (UNK)","","Fatal","Yes","","","","1","","","","","","","","","","","","","","","",""
"No","19-FEB-16","18-FEB-16","23:55:00Z","TAVERNIER","Florida","","AIRCRAFT ON LANDING WENT OFF THE END OF THE RUNWAY, STRUCK A VEHICLE AND FLIPPED OVER, TAVERNIER, FL","Incident","FAA Miami FSDO-19","N705RP","","","VANS","RV7","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","19-FEB-16","18-FEB-16","22:14:00Z","TRENTON","New Jersey","","AIRCRAFT ON FINAL SUSTAINED A BIRD STRIKE, LANDED WITHOUT INCIDIENT WITH MINOR DAMAGE, TRENTON, NJ","Incident","FAA Philadelphia FSDO-17","N9563A","","","CESSNA","172","","Minor","","APPROACH (APR)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","19-FEB-16","18-FEB-16","17:10:00Z","ASHEVILLE","North Carolina","","AIRCRAFT ON LANDING, GEAR COLLAPSED, ASHEVILLE, NC","Incident","FAA Charlotte FSDO-68","N10CF","","","LANCAIR","235","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","19-FEB-16","18-FEB-16","00:26:00Z","TALKEETNA","Alaska","","AIRCRAFT ON LANDING, NOSE GEAR COLLAPSED, TALKEETNA, ALASKA","Incident","FAA Anchorage FSDO-03","N1530Y","","","CESSNA","172","","Minor","","LANDING (LDG)","","Minor","","1","","","","","","","","","","","1","","","","","","","",""
"No","19-FEB-16","18-FEB-16","20:23:00Z","PEARL HARBOR","Hawaii","","N80918 BELL 206B ROTORCRAFT CRASHED INTO THE WATER NEAR THE PEARL HARBOR ARIZONA MEMORIAL, THE  5 PERSONS ON BOARD WERE RESCURED, 3 SUSTAINED SERIOUS INJURIES, 2 SUSTAINED MINOR INJURIES, FORD ISLAND, HONOLULU, HAWAII","Accident","FAA Honolulu FSDO-13","N80918","","GENESIS HELICOPTERS","BELL","206","","Substantial","Sightseeing","UNKNOWN (UNK)","","Serious","","","2","3","","","","","","","","","","","","","","","","",""
"No","18-FEB-16","17-FEB-16","21:15:00Z","BROOKSVILLE","Florida","","AIRCRAFT GEAR COLLAPSED ON LANDING, BROOKSVILLE, FL","Incident","FAA Miami FSDO-19","N7243P","","","PIPER","PA24","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","18-FEB-16","17-FEB-16","18:10:00Z","WINTER HAVEN","Florida","","AIRCRAFT ON LANDING GEAR COLLAPSED, WINTER HAVEN, FL","Incident","FAA Orlando FSDO-15","N9443M","","","CESSNA","210","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","18-FEB-16","17-FEB-16","13:50:00Z","MIAMI","Florida","","N859GT ATLAS AIR FLIGHT GTI33 BOEING 747 AIRCRAFT ON DEPARTURE TIRES BLEW OUT, AIRCRAFT RETURNED AND LANDED WITHOUT INCIDENT, INSPECTION REVEALED DAMAGE TO FUSELAGE, MIAMI, FL","Incident","FAA Miami FSDO-19","N859GT","GTI33","GTI-Atlas Air","BOEING","747","","Minor","Commercial","TAKEOFF (TOF)","","None","","6","","","","","","","","","","","","","","","","","","",""
"No","18-FEB-16","17-FEB-16","15:30:00Z","FERNANDINA BEACH","Florida","","AIRCRAFT, LSA PARADISE P1,  ON LANDING NOSE GEAR COLLAPSED, FERNANDINA BEACH, FL","Incident","FAA Orlando FSDO-15","N538JA","","","","","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","18-FEB-16","17-FEB-16","15:40:00Z","NEWPORT NEWS","Virginia","","AIRCRAFT ON LANDING WENT OFF THE RUNWAY INTO A DITCH, NEWPORT NEWS, VA","Incident","FAA Richmond FSDO-21","N35502","","","CESSNA","172","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","15-FEB-16","16:12:00Z","PHOENIX","Arizona","","N2194X FIREFLY 9 BALLOON, ON LANDING STRUCK THE SIDE OF A PARKED VEHICLE, NO INJURIES, NEAR PHOENIX, AZ","Incident","FAA Scottsdale FSDO-07","N2194X","","","","FIREFLY","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","6","","","","","","","","",""
"No","17-FEB-16","14-FEB-16","20:21:00Z","ELMIRA","New York","","AIRCRAFT GEAR COLLAPSED ON LANDING, ELMIRA, NY","Incident","FAA Rochester FSDO-23","N100SH","","","CESSNA","310","","Unknown","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","14-FEB-16","02:00:00Z","NEW ORLEANS","Louisiana","","AIRCRAFT ON LANDING NOSE GEAR COLLAPSED, LAKEFRONT AIRPORT, NEW ORLEANS, LA","Incident","FAA Baton Rouge FSDO-03","N94227","","","CESSNA","210","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","17-FEB-16","15-FEB-16","20:10:00Z","RIVERSIDE","California","","AIRCRAFT ON TAKEOFF STRUCK RUNWAY LIGHT AT THE DEPARTURE END OF THE RUNWAY, RIVERSIDE, CA","Incident","FAA Riverside FSDO-21","N234WP","","","BEECH","T34","","None","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","17-FEB-16","02:34:00Z","PEMBROOKE PINES","Florida","","AIRCRAFT FORCE LANDED ON A HIGHWAY, NEAR PEMBROOK PINES, FL","Incident","FAA Miami FSDO-19","N46953","","","CESSNA","152","","Unknown","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","17-FEB-16","14-FEB-16","17:00:00Z","BELL CITY","Louisiana","","AIRCRAFT ON TAKEOFF WENT OFF THE GRASS STRIP AND FLIPPED OVER, NEAR BELL CITY, LA","Accident","FAA Baton Rouge FSDO-03","N960RF","","","CHRISTEN","EAGLE II","","Substantial","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
